# iHydroCal SWAT+ parameter database
# Edit flag=1 to activate a parameter. chg_type can be blank; iHydroCal will use pctchg by default.
"# obj_ids blank means all objects. Use comma-separated IDs like ""1,2,3"" for selected objects."
# Generated from:,"cal_parms.cal:,written,by,SWAT+,editor,v3.0.8,on,11/10/2025,14:48,for,SWAT+,rev.61.0.1"
223,,,,,,,,,,,,,,,,,,,,,,,,
flag,name,chg_type,val,obj_typ,obj_ids,conds,lyr1,lyr2,year1,year2,day1,day2,obj_tot,abs_min,abs_max,parlbnd,parubnd,partrans,pargp,scale,offset,dercom,units,description
0,k,,1.0e-7,sol,,0,0,0,0,0,0,0,0,0.0001,2000,-50,50,none,k,1.0,0.0,1,mm/hr,
0,cbn,,1.0e-7,sol,,0,0,0,0,0,0,0,0,0.05,10,-50,50,none,cbn,1.0,0.0,1,%,
0,clay,,1.0e-7,sol,,0,0,0,0,0,0,0,0,0,100,-50,50,none,clay,1.0,0.0,1,null,
0,silt,,1.0e-7,sol,,0,0,0,0,0,0,0,0,0,100,-50,50,none,silt,1.0,0.0,1,%,
0,sand,,1.0e-7,sol,,0,0,0,0,0,0,0,0,0,100,-50,50,none,sand,1.0,0.0,1,null,
0,rock,,1.0e-7,sol,,0,0,0,0,0,0,0,0,0,100,-50,50,none,rock,1.0,0.0,1,%,
0,alb,,1.0e-7,sol,,0,0,0,0,0,0,0,0,0,0.25,-50,50,none,alb,1.0,0.0,1,null,
0,usle_k,,1.0e-7,sol,,0,0,0,0,0,0,0,0,0,0.65,-50,50,none,usle_k,1.0,0.0,1,null,
0,ec,,1.0e-7,sol,,0,0,0,0,0,0,0,0,0,100,-50,50,none,ec,1.0,0.0,1,dS/m,
0,cal,,1.0e-7,sol,,0,0,0,0,0,0,0,0,0,65,-50,50,none,cal,1.0,0.0,1,%,
0,ph,,1.0e-7,sol,,0,0,0,0,0,0,0,0,3,10,-50,50,none,ph,1.0,0.0,1,null,
0,plaps,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0,200,-50,50,none,plaps,1.0,0.0,1,null,
0,tlaps,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,-10,10,-50,50,none,tlaps,1.0,0.0,1,null,
0,surlag,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0.05,24,-50,50,none,surlag,1.0,0.0,1,days,
0,adj_pkr,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0.5,2,-50,50,none,adj_pkr,1.0,0.0,1,null,
0,prf,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0,2,-50,50,none,prf,1.0,0.0,1,null,
0,evrch,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0.5,1,-50,50,none,evrch,1.0,0.0,1,null,
0,evlai,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0,10,-50,50,none,evlai,1.0,0.0,1,null,
0,ffcb,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0,1,-50,50,none,ffcb,1.0,0.0,1,null,
0,cmn,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0.001,0.003,-50,50,none,cmn,1.0,0.0,1,null,
0,nperco,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0,1,-50,50,none,nperco,1.0,0.0,1,null,
0,pperco,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,5,20,-50,50,none,pperco,1.0,0.0,1,null,
0,phoskd,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,100,400,-50,50,none,phoskd,1.0,0.0,1,null,
0,psp,,1.0e-7,bsn,,0,0,0,0,0,0,0,0,0.01,0.7,-50,50,none,psp,1.0,0.0,1,null,
